anon_sname,age_year,birth,start,end,statdate,status,age_at_statdate,mom_rank_birth,group_size_birth,mom_sci,mom_death_cat,competing_sibling_cat,drought_cat,mom_rank_birth_cat,group_size_birth_cat,mom_sci_cat,cumulative_adversity,cumulative_adversity_three_plus,avg_ordrank,avg_proprank,rain_anom,avg_group_size
1,4,9/10/98,9/10/02,9/9/03,2/8/08,1,9.413,3,25,-0.413115869,1,1,0,0,0,1,3,3,2,0.8571,3.40625,13.17386723
1,5,9/10/98,9/10/03,9/9/04,2/8/08,1,9.413,3,25,-0.413115869,1,1,0,0,0,1,3,3,2,0.872175,-121.49375,15.46448087
1,6,9/10/98,9/10/04,9/9/05,2/8/08,1,9.413,3,25,-0.413115869,1,1,0,0,0,1,3,3,2,0.876983333,13.42291667,16.8826087
1,7,9/10/98,9/10/05,9/9/06,2/8/08,1,9.413,3,25,-0.413115869,1,1,0,0,0,1,3,3,2,0.877316667,-105.89375,17.26794521
1,8,9/10/98,9/10/06,9/9/07,2/8/08,1,9.413,3,25,-0.413115869,1,1,0,0,0,1,3,3,2,0.887741667,80.00625,19.40712329
1,9,9/10/98,9/10/07,9/9/08,2/8/08,1,9.413,3,25,-0.413115869,1,1,0,0,0,1,3,3,2,0.875,-143.49375,19.91803279
2,4,1/26/97,1/26/01,1/25/02,12/6/18,1,21.859,3,20,0.164442221,1,0,0,0,0,0,1,1,2,0.8333,-67.33191489,12.01460616
2,5,1/26/97,1/26/02,1/25/03,12/6/18,1,21.859,3,20,0.164442221,1,0,0,0,0,0,1,1,2.166666667,0.813466667,3.368085106,12.57443366
2,6,1/26/97,1/26/03,1/25/04,12/6/18,1,21.859,3,20,0.164442221,1,0,0,0,0,0,1,1,3,0.7143,-95.33191489,13.85300316
2,7,1/26/97,1/26/04,1/25/05,12/6/18,1,21.859,3,20,0.164442221,1,0,0,0,0,0,1,1,3,0.763241667,-135.4319149,16.19726776
2,8,1/26/97,1/26/05,1/25/06,12/6/18,1,21.859,3,20,0.164442221,1,0,0,0,0,0,1,1,3,0.747025,-44.93191489,16.89782609
